
2013-12-04 17:17:53 | ip ::1 | Notice : Undefined index: login ; ligne : 147 ; /var/www/temp/hibouk/server/core/g_module.php

2013-12-04 17:17:53 | ip ::1 | Notice : Undefined index: password ; ligne : 147 ; /var/www/temp/hibouk/server/core/g_module.php

2013-12-04 17:18:00 | ip ::1 | Core Error : Directive 'allow_call_time_pass_reference' is no longer available in PHP ; ligne : 0 ; Unknown

2013-12-04 17:18:05 | ip ::1 | Core Error : Directive 'allow_call_time_pass_reference' is no longer available in PHP ; ligne : 0 ; Unknown

2013-12-04 17:18:12 | ip ::1 | Core Error : Directive 'allow_call_time_pass_reference' is no longer available in PHP ; ligne : 0 ; Unknown

2013-12-04 17:18:14 | ip ::1 | Core Error : Directive 'allow_call_time_pass_reference' is no longer available in PHP ; ligne : 0 ; Unknown

2013-12-06 23:51:58 | ip ::1 | Notice : Use of undefined constant APPLI_TABLE - assumed 'APPLI_TABLE' ; ligne : 30 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-06 23:51:58 | ip ::1 | Notice : Use of undefined constant APPLI_BOOK_NUMBER - assumed 'APPLI_BOOK_NUMBER' ; ligne : 32 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-06 23:51:58 | ip ::1 | Notice : Use of undefined constant APPLI_BOOK_NUMBER - assumed 'APPLI_BOOK_NUMBER' ; ligne : 33 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-06 23:52:14 | ip ::1 | Notice : Undefined index: login ; ligne : 147 ; C:\xampp\htdocs\hibook\server\core\g_module.php

2013-12-06 23:52:14 | ip ::1 | Notice : Undefined index: password ; ligne : 147 ; C:\xampp\htdocs\hibook\server\core\g_module.php

2013-12-06 23:53:04 | ip ::1 | Notice : Use of undefined constant APPLI_TABLE - assumed 'APPLI_TABLE' ; ligne : 30 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-06 23:53:05 | ip ::1 | Notice : Use of undefined constant APPLI_BOOK_NUMBER - assumed 'APPLI_BOOK_NUMBER' ; ligne : 32 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-06 23:53:05 | ip ::1 | Notice : Use of undefined constant APPLI_BOOK_NUMBER - assumed 'APPLI_BOOK_NUMBER' ; ligne : 33 ; C:\xampp\htdocs\hibook\server\modules\ap_biblio.php

2013-12-06 23:53:26 | ip ::1 | User Warning : [6] Address key does not exist : epubMODELS  ; ligne : 93 ; C:\xampp\htdocs\hibook\server\core\g_adr.php

